item,genre,id,name,artist,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
720,Classical Piano,2vz6Zep5xyCIAZgIroYL1X,Feed the Birds - From Mary Poppins,Lang Lang,0.46,0.03,1,1,-22.209,0.0697,0.987,0.897,0.0975,0.0535,133.167,261309
721,Classical Piano,6QuCKdMsTW8ppnUiFmxJLF,Liz On Top Of The World - From Pride & Prejudice Soundtrack,Jean-Yves Thibaudet,0.217,0.117,3,1,-21.398,0.0374,0.975,0.911,0.0573,0.0388,46.755,82773
722,Classical Piano,0EHJOhOakEiobXo81vegdy,Dawn - From Pride & Prejudice Soundtrack,Jean-Yves Thibaudet,0.332,0.0525,0,1,-24.1,0.0388,0.991,0.891,0.0683,0.097,78.853,158600
723,Classical Piano,308fmwi0Y8ULBSzthdhooI,Stille Musik: 3. Augenblicke der Serenade,Valentin Silvestrov,0.16,0.00726,0,1,-39.362,0.0436,0.971,0.952,0.139,0.0336,86.12,137413
724,Classical Piano,70FROKEHubzMxSstCgaZZl,Prelude in G Major,Víkingur Ólafsson,0.314,0.0249,7,1,-34.402,0.0469,0.995,0.938,0.0914,0.238,102.328,234880
725,Classical Piano,5YArnxq4lg8JYw7baZQnuE,The Secret Life Of Daydreams - From Pride & Prejudice Soundtrack,Jean-Yves Thibaudet,0.296,0.0213,10,1,-30.051,0.0348,0.969,0.747,0.087,0.174,70.532,115160
726,Classical Piano,4bFdyisLdkeS7tmbAWpl13,Memories of a Promenade II,Olga Scheps,0.215,0.0282,0,0,-28.351,0.0353,0.991,0.877,0.107,0.167,74.408,206163
727,Classical Piano,3LRYwBJECFeQGi16cPxEZY,Wasserklavier,David Arden,0.32,0.00157,10,0,-43.77,0.0715,0.985,0.0465,0.05,0.109,78.685,122840
728,Classical Piano,1d1FNmfO3dFlH8873yNFX3,Five Pieces For Violin And Piano: I. Elegia (Andante Larghetto),Valentin Silvestrov,0.0694,0.00525,3,1,-35.45,0.0482,0.972,0.00751,0.0739,0.036,73.566,179360
729,Classical Piano,5EjEo7s2rLHcMZz0BxhOPm,Reflection,Víkingur Ólafsson,0.433,0.0149,1,1,-32.797,0.0393,0.993,0.964,0.106,0.296,106.186,334799
730,Comedy,4w9soAM7IrmYDhSXLp14p6,Peaches,Jack Black,0.698,0.312,10,0,-10.9,0.0483,0.797,0.0,0.1,0.419,92.138,95440
731,Comedy,1ACZpHI5vZ5Ea4xGlkdGWM,Crazy Rap (Colt 45 & 2 Zig Zags),Afroman,0.927,0.367,9,1,-7.797,0.382,0.325,0.0,0.132,0.576,99.053,328667
732,Comedy,10Igtw8bSDyyFs7KIsKngZ,Freaky Friday (feat. Chris Brown),Lil Dicky,0.755,0.599,8,1,-5.042,0.224,0.147,0.0,0.109,0.755,133.123,216632
733,Comedy,0rRboI6IRuGx56Dq3UdYY4,Because I Got High,Afroman,0.802,0.341,7,1,-8.56,0.488,0.169,0.0,0.0783,0.849,166.01,197760
734,Comedy,7MkysLvt3L8UFji2PceoFU,Molly (feat. Brendon Urie of Panic at the Disco),Lil Dicky,0.829,0.514,7,1,-6.694,0.037,0.203,0.000157,0.115,0.397,114.955,244340
735,Comedy,1TkWsnheqK0gBtvh07BtNX,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),Lil Dicky,0.858,0.697,2,1,-5.361,0.23,0.114,0.0,0.224,0.364,98.013,290836
736,Comedy,0Dfctnkk9xIikDKJ06uwzo,She's So Nice,Pink Guy,0.828,0.577,6,0,-7.656,0.158,0.599,0.0,0.0814,0.587,86.339,163493
737,Comedy,5TlAXiBCBwiQnIZUAA4Jkg,Professional Rapper (feat. Snoop Dogg),Lil Dicky,0.684,0.621,11,0,-8.442,0.362,0.432,0.0,0.607,0.537,128.882,353960
